name,type,a_dec_deg,l_ra_deg,x_sinA,y_cosAsinL,z_cosAcosL,notes
Larawag,star,-34.2932,252.5409,-0.563428,-0.788104,-0.24787,Vmag=2.29
Merak,star,56.3824,165.4603,0.832751,0.138993,-0.535916,Vmag=2.34
Izar,star,27.0742,221.2468,0.455144,-0.587055,-0.669485,Vmag=2.35
Enif,star,9.875,326.0465,0.171499,-0.550245,0.817201,Vmag=2.38
Ankaa,star,-42.3061,6.5709,-0.673091,0.08463,0.734701,Vmag=2.4
Phecda,star,53.6948,178.4577,0.805874,0.015936,-0.591872,Vmag=2.41
Sabik,star,-15.7249,257.5945,-0.271019,-0.9401,-0.206788,Vmag=2.43
Scheat,star,28.0828,345.9436,0.470747,-0.214283,0.855851,Vmag=2.44
Alderamin,star,62.5856,319.6449,0.887699,-0.298135,0.350864,Vmag=2.45
Aludra,star,-29.3031,111.0238,-0.48943,0.813992,-0.31285,Vmag=2.45
Markeb,star,-55.0107,140.5284,-0.819259,0.364523,-0.442649,Vmag=2.47
Aljanah,star,33.9703,311.5528,0.558762,-0.620623,0.550102,Vmag=2.48
Markab,star,15.2053,346.1902,0.262278,-0.230343,0.937098,Vmag=2.49
Pleiades,other,24.1139,56.6008,0.408552,0.762002,0.502432,
Orion Nebula,other,-5.3876,83.8201,-0.093893,0.989797,0.107175,
Crab Nebula,other,22.0174,83.6324,0.374888,0.921351,0.102819,
Andromeda Galaxy,other,41.2688,10.6847,0.659592,0.139354,0.738593,
Triangulum Galaxy,other,30.6602,23.4621,0.509945,0.342484,0.789088,
Whirlpool Galaxy,other,47.1953,202.4696,0.733674,-0.259701,-0.627916,
Hercules Cluster,other,36.4613,250.4235,0.59428,-0.757768,-0.269479,
Ring Nebula,other,33.0291,283.3962,0.545065,-0.815582,0.194242,
Sombrero Galaxy,other,-11.6231,189.9976,-0.201472,-0.170048,-0.964621,
Beehive Cluster,other,19.6211,130.0542,0.335799,0.72099,-0.606145,
Lagoon Nebula,other,-24.3867,270.9042,-0.412892,-0.910666,0.014372,
Omega Centauri,other,-47.4795,201.697,-0.737035,-0.249862,-0.627971,
Large Magellanic Cloud,other,-69.7561,80.8942,-0.938228,0.341656,0.05476,
Carina Nebula,other,-59.6999,161.2593,-0.863395,0.162098,-0.477779,
Tarantula Nebula,other,-69.1,84.675,-0.934204,0.355198,0.033107,
Andromeda constellation,constellation,40.585,9.9171,0.650576,0.130793,0.748094,area-centroid (3410 pts)
Antlia constellation,constellation,-34.0746,152.1618,-0.560271,0.386801,-0.732449,area-centroid (1121 pts)
Apus constellation,constellation,-75.8603,244.4005,-0.969703,-0.220307,-0.105551,area-centroid (1029 pts)
Aquarius constellation,constellation,-10.342,335.7954,-0.179524,-0.403336,0.897269,area-centroid (4772 pts)
Aquila constellation,constellation,2.0733,294.6079,0.036177,-0.908583,0.416134,area-centroid (3201 pts)
Ara constellation,constellation,-54.148,260.0653,-0.810532,-0.576911,-0.101047,area-centroid (1112 pts)
Aries constellation,constellation,20.1469,39.8997,0.344428,0.602198,0.720227,area-centroid (2162 pts)
Auriga constellation,constellation,40.9854,89.4127,0.655867,0.754837,0.007737,area-centroid (3196 pts)
Bootes constellation,constellation,29.5299,218.9118,0.492878,-0.546529,-0.677035,area-centroid (4344 pts)
Caelum constellation,constellation,-37.9378,71.3794,-0.614805,0.747394,0.251825,area-centroid (645 pts)
Camelopardalis constellation,constellation,70.9022,85.2029,0.944961,0.326036,0.027361,area-centroid (3728 pts)
Cancer constellation,constellation,19.1682,130.1312,0.328342,0.722182,-0.608807,area-centroid (2494 pts)
Canes Venatici constellation,constellation,40.6236,197.2355,0.651087,-0.224892,-0.72492,area-centroid (2298 pts)
